Rank,Company Name,Number of Employees,"Change in 
Rank","Revenues
(millions)","Revenue 
Change","Profits
(millions)","Profit 
Change","Assets
(millions)","Market Value 
As of 3/31/21 (m)"
1,Walmart,2300000,NULL,559151,6.7,13510.0 ,-9.2,252496,382643
2,Amazon,1298000,NULL,386064,37.6,21331.0 ,84.1,321195,1558070
3,Apple,147000,1 ,274515,5.5,57411.0 ,3.9,323888,2050666
4,CVS Health,256500,1 ,268706,4.6,7179.0 ,8.2,230715,98653
5,UnitedHealth Group,330000,2 ,257141,6.2,15403.0 ,11.3,197289,351725
6,Berkshire Hathaway,360000,NULL,245510,-3.6,42521.0 ,-47.8,873729,587823
7,McKesson,70000,1 ,231051,7.8,900.0 ,2547.1,61247,31044
8,AmerisourceBergen,21500,2 ,189894,5.7,-3408.7 ,-498.5,44275,24170
9,Alphabet,135301,2 ,182527,12.8,40269.0 ,17.3,319616,1392562
10,Exxon Mobil,72000,-7 ,181502,-31.5,-22440.0 ,-256.5,332750,236355
11,AT&T,230760,-2 ,171760,-5.2,-5176.0 ,-137.2,525761,215879
12,Costco Wholesale,214500,2 ,166761,9.2,4002.0 ,9.4,55556,155984
13,Cigna,72963,NULL,160401,4.5,8458.0 ,65.7,155451,83976
14,Cardinal Health,48000,2 ,152922,5.1,-3696.0 ,-371.2,40766,17840
15,Microsoft,163000,6 ,143015,13.6,44281.0 ,12.8,301311,1778228
16,Walgreens Boots Alliance,277000,3 ,139537,2.0,456.0 ,-88.5,87174,47455
17,Kroger,465000,6 ,132498,8.4,2585.0 ,55.8,48662,27064
18,Home Depot,504800,8 ,132110,19.9,12866.0 ,14.4,70581,328775
19,JPMorgan Chase,255351,-2 ,129503,-9.1,29131.0 ,-20.0,3386071,464531
20,Verizon Communications,132200,NULL,128292,-2.7,17801.0 ,-7.6,316481,240633
21,Ford Motor,186000,-9 ,127144,-18.4,-1279.0 ,-2821.3,267261,48739
22,General Motors,155000,-4 ,122485,-10.7,6427.0 ,-4.5,235194,82795
23,Anthem,83400,6 ,121867,16.9,4572.0 ,-4.9,86615,87909
24,Centene,71300,18 ,111115,48.9,1808.0 ,36.9,68719,37170
25,Fannie Mae,7700,-1 ,106437,-11.5,11805.0 ,-16.6,3985749,2397
26,Comcast,168000,2 ,103564,-4.9,10534.0 ,-19.3,273869,247859
27,Chevron,47736,-12 ,94692,-35.4,-5543.0 ,-289.6,239790,201865
28,Dell Technologies,158000,6 ,94224,2.2,3250.0 ,-29.6,123415,67229
29,Bank of America,212505,-4 ,93753,-17.5,17894.0 ,-34.8,2819627,333788
30,Target,409000,7 ,93561,19.8,4368.0 ,33.1,51248,98761
31,Lowe's,280000,13 ,89597,24.2,5835.0 ,36.3,46735,136408
32,Marathon Petroleum,57900,-10 ,88952,-28.7,-9826.0 ,-472.6,85158,34874
33,Citigroup,210153,-2 ,88839,-14.1,11047.0 ,-43.1,2260090,151806
34,Facebook,58604,12 ,85965,21.6,29146.0 ,57.7,159316,838724
35,UPS,408255,8 ,84628,14.2,1343.0 ,-69.8,62408,147792
36,Johnson & Johnson,134500,-1 ,82584,0.6,14714.0 ,-2.7,174894,432685
37,Wells Fargo,268531,-7 ,80303,-22.7,3301.0 ,-83.1,1955163,161521
38,General Electric,184000,-5 ,79619,-16.4,5704.0 ,NULL,253452,115343
39,State Farm Insurance,57582,-3 ,78898,-0.6,3738.9 ,-33.1,299105,NULL
40,Intel,110600,5 ,77867,8.2,20899.0 ,-0.7,153091,260630
41,Humana,48700,11 ,77155,18.9,3367.0 ,24.4,34969,54088
42,IBM,364800,-4 ,73620,-4.6,5590.0 ,-40.7,155971,119080
43,Procter & Gamble,99000,7 ,70950,4.8,13027.0 ,234.3,120700,333493
44,PepsiCo,291000,7 ,70372,4.8,7120.0 ,-2.7,92918,195208
45,FedEx,418000,2 ,69217,-0.7,1286.0 ,138.1,73537,75368
46,MetLife,46500,2 ,67842,-2.6,5407.0 ,-8.3,795146,53763
47,Freddie Mac,6922,-6 ,66228,-11.8,7326.0 ,1.6,2627415,1333
48,Phillips 66,14300,-21 ,65494,-40.2,-3975.0 ,-229.2,54721,35704
49,Lockheed Martin,114000,8 ,65398,9.3,6833.0 ,9.7,50710,102984
50,Walt Disney,203000,-1 ,65388,-6.0,-2864.0 ,-125.9,201549,334953
51,Archer Daniels Midland,38332,3 ,64355,-0.5,1772.0 ,28.5,49719,31835
52,Albertsons,270000,3 ,62455,3.2,466.4 ,255.8,24735,8878
53,Valero Energy,9964,-21 ,60115,-41.5,-1421.0 ,-158.7,51774,29267
54,Boeing,141000,-14 ,58158,-24.0,-11873.0 ,NULL,152136,148665
55,Prudential Financial,41671,-2 ,57033,-12.0,-374.0 ,-108.9,940722,36022
56,HP,53000,2 ,56639,-3.6,2844.0 ,-9.8,34681,39580
57,Raytheon Technologies,181000,-18 ,56587,-26.6,-3519.0 ,-163.6,162153,117144
58,StoneX Group,2950,42 ,54140,64.6,169.6 ,99.3,13475,1284
59,Goldman Sachs Group,40500,1 ,53498,-0.8,9459.0 ,11.7,1163028,116903
60,Sysco,57000,-4 ,52893,-12.0,215.5 ,-87.1,22628,40190
61,Morgan Stanley,68097,NULL,52047,-3.3,10996.0 ,21.6,1115862,146162
62,HCA Healthcare,235000,3 ,51533,0.4,3754.0 ,7.1,47490,63459
63,Cisco Systems,77500,NULL,49301,-5.0,11214.0 ,-3.5,94853,218309
64,Charter Communications,96100,7 ,48097,5.1,3222.0 ,93.2,144206,128966
65,Merck,73500,4 ,47994,2.5,7067.0 ,-28.2,91588,195062
66,Best Buy,81600,9 ,47262,8.3,1798.0 ,16.7,19067,28708
67,New York Life Insurance,11506,6 ,46712,5.9,-822.3 ,-181.9,359313,NULL
68,AbbVie,47000,31 ,45804,37.7,4616.0 ,-41.4,150565,190989
69,Publix Super Markets,227000,18 ,45204,17.5,3971.8 ,32.2,28094,NULL
70,Allstate,42010,2 ,44791,0.3,5576.0 ,15.0,125987,34800
71,Liberty Mutual Insurance Group,45000,6 ,43796,1.3,758.0 ,-27.4,145377,NULL
72,AIG,45000,-6 ,43736,-12.1,-5944.0 ,-277.5,586481,39849
73,Tyson Foods,139000,6 ,43185,1.8,2061.0 ,4.1,34456,27100
74,Progressive,43326,12 ,42658,9.3,5704.6 ,43.7,64098,55947
75,Bristol-Myers Squibb,30250,40 ,42518,62.6,-9015.0 ,-362.1,118481,141028
76,Nationwide,25391,-2 ,41930,-4.7,-138.4 ,-116.7,256589,NULL
77,Pfizer,78500,-13 ,41908,-19.0,9616.0 ,-40.9,154229,202097
78,Caterpillar,97300,-16 ,41748,-22.4,2998.0 ,-50.8,78324,126440
79,TIAA,14953,2 ,41619,2.9,558.1 ,-77.3,654252,NULL
80,Oracle,135000,2 ,39068,-1.1,10135.0 ,-8.6,115438,202338
81,Energy Transfer,11421,-22 ,38954,-28.1,-648.0 ,-118.0,95144,20755
82,Dow,35700,-4 ,38542,-10.3,1225.0 ,NULL,61470,47650
83,American Express,63700,-16 ,38185,-18.8,3135.0 ,-53.6,191367,113636
84,General Dynamics,100700,-1 ,37925,-3.6,3167.0 ,-9.1,51308,51482
85,Nike,75400,NULL,37403,-4.4,2539.0 ,-37.0,31342,209500
86,Northrop Grumman,97000,10 ,36799,8.7,3189.0 ,41.9,44469,53957
87,USAA,35935,7 ,36296,1.9,3906.9 ,-2.5,200348,NULL
88,Deere,69634,-4 ,35540,-9.5,2751.0 ,-15.4,75091,117270
89,Abbott Laboratories,109000,15 ,34608,8.5,4495.0 ,21.9,72548,212300
90,Northwestern Mutual,6641,12 ,33782,4.6,425.0 ,-66.5,308767,NULL
91,Dollar General,158000,21 ,33747,21.6,2655.1 ,55.0,25863,48480
92,Exelon,32340,3 ,33039,-4.1,1963.0 ,-33.1,129317,42724
93,Coca-Cola,80300,-5 ,33014,-11.4,7747.0 ,-13.2,87296,227144
94,Honeywell International,103000,-2 ,32637,-11.1,4779.0 ,-22.2,64586,150972
